:START_ID,:END_ID,:TYPE
Framework_GRI_11_Oil_and_Gas_Sector_2021_V1_1_pdf,Topic_GRI_11_Oil_and_Gas_Sector_2021_V1_1,contains
Topic_GRI_11_Oil_and_Gas_Sector_2021_V1_1,Framework_GRI_11_Oil_and_Gas_Sector_2021_V1_1_pdf,belongsToFramework
Framework_GRI_11_Oil_and_Gas_Sector_2021_V1_1_pdf,Topic_GRI_11_Oil_and_Gas_Sector_2021_V1_1,contains
Topic_GRI_11_Oil_and_Gas_Sector_2021_V1_1,Framework_GRI_11_Oil_and_Gas_Sector_2021_V1_1_pdf,belongsToFramework
Framework_GRI_11_Oil_and_Gas_Sector_2021_V1_1_pdf,Topic_GRI_11_Oil_and_Gas_Sector_2021,contains
Topic_GRI_11_Oil_and_Gas_Sector_2021,Framework_GRI_11_Oil_and_Gas_Sector_2021_V1_1_pdf,belongsToFramework
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_1_Climate_change_13,contains
Topic_Topic_11_1_Climate_change_13,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_3_Air_emissions_17,contains
Topic_Topic_11_3_Air_emissions_17,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_4_Biodiversity_19,contains
Topic_Topic_11_4_Biodiversity_19,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_5_Waste_21,contains
Topic_Topic_11_5_Waste_21,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_6_Water_and_effluents_23,contains
Topic_Topic_11_6_Water_and_effluents_23,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_7_Closure_and_rehabilitation_25,contains
Topic_Topic_11_7_Closure_and_rehabilitation_25,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_8_Asset_integrity_and_critical_incident_m,contains
