:START_ID,:END_ID,:TYPE
Framework_ESRS_20E3_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_E3,contains
Topic_ESRS_E3,Framework_ESRS_20E3_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Framework_ESRS_20E3_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_E3,contains
Topic_ESRS_E3,Framework_ESRS_20E3_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Topic_ESRS_E3,Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_water_and_marine_resources_rela,contains
Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_water_and_marine_resources_rela,Topic_ESRS_E3,belongsToTopic
Topic_ESRS_E3,Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_water_and_marine_resources_rela,contains
Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_water_and_marine_resources_rela,Topic_ESRS_E3,belongsToTopic
Topic_ESRS_E3,Disclosure_Disclosure_Requirement_E3_2_Actions_and_resources_related_to_water_and_marine_resources_policies_M,contains
Disclosure_Disclosure_Requirement_E3_2_Actions_and_resources_related_to_water_and_marine_resources_policies_M,Topic_ESRS_E3,belongsToTopic
Disclosure_Disclosure_Requirement_E3_2_Actions_and_resources_related_to_water_and_marine_resources_policies_M,Requirement_-6728101380895215543,requires
Requirement_-6728101380895215543,Disclosure_Disclosure_Requirement_E3_2_Actions_and_resources_related_to_water_and_marine_resources_policies_M,belongsToDisclosure
Disclosure_Disclosure_Requirement_E3_2_Actions_and_resources_related_to_water_and_marine_resources_policies_M,Requirement_-5124755573744078341,requires
Requirement_-5124755573744078341,Disclosure_Disclosure_Requirement_E3_2_Actions_and_resources_related_to_water_and_marine_resources_policies_M,belongsToDisclosure
Framework_ESRS_20E3_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_2,contains
