start_id:START_ID,end_id:END_ID,type:TYPE
Scope1Emission,Category_Environmental,BELONGS_TO
Scope2Emission,Category_Environmental,BELONGS_TO
RenewableEnergy,Category_Environmental,BELONGS_TO
WaterWithdrawal,Category_Environmental,BELONGS_TO
WasteGenerated,Category_Environmental,BELONGS_TO
WomenEmployees,Category_Social,BELONGS_TO
BoardIndependence,Category_Governance,BELONGS_TO
CSRSpending,Category_Social,BELONGS_TO
Framework_GRI_DirectGHGEmissions,Standard_GRI,BELONGS_TO
Framework_GRI_DirectGHGEmissions,Scope1Emission,MAPS_TO
Framework_GRI_EnergyIndirectGHGEmissions,Standard_GRI,BELONGS_TO
Framework_GRI_EnergyIndirectGHGEmissions,Scope2Emission,MAPS_TO
Framework_GRI_RenewableEnergyConsumption,Standard_GRI,BELONGS_TO
Framework_GRI_RenewableEnergyConsumption,RenewableEnergy,MAPS_TO
Framework_GRI_WaterWithdrawalBySource,Standard_GRI,BELONGS_TO
Framework_GRI_WaterWithdrawalBySource,WaterWithdrawal,MAPS_TO
Framework_GRI_WasteGenerated,Standard_GRI,BELONGS_TO
Framework_GRI_WasteGenerated,WasteGenerated,MAPS_TO
Framework_GRI_DiversityOfEmployees,Standard_GRI,BELONGS_TO
Framework_GRI_DiversityOfEmployees,WomenEmployees,MAPS_TO
Framework_GRI_GovernanceStructureAndComposition,Standard_GRI,BELONGS_TO
Framework_GRI_GovernanceStructureAndComposition,BoardIndependence,MAPS_TO
Framework_GRI_DirectEconomicValueDistributed,Standard_GRI,BELONGS_TO
Framework_GRI_DirectEconomicValueDistributed,CSRSpending,MAPS_TO
Framework_SASB_GrossScope1Emissions,Standard_SASB,BELONGS_TO
Framework_SASB_GrossScope1Emissions,Scope1Emission,MAPS_TO
Framework_SASB_GrossScope2Emissions,Standard_SASB,BELONGS_TO
Framework_SASB_GrossScope2Emissions,Scope2Emission,MAPS_TO
Framework_SASB_RenewableEnergyConsumed,Standard_SASB,BELONGS_TO
Framework_SASB_RenewableEnergyConsumed,RenewableEnergy,MAPS_TO
Framework_SASB_TotalWaterWithdrawn,Standard_SASB,BELONGS_TO
Framework_SASB_TotalWaterWithdrawn,WaterWithdrawal,MAPS_TO
Framework_SASB_TotalAmountOfWaste,Standard_SASB,BELONGS_TO
Framework_SASB_TotalAmountOfWaste,WasteGenerated,MAPS_TO
Framework_SASB_GenderDiversityPercentage,Standard_SASB,BELONGS_TO
Framework_SASB_GenderDiversityPercentage,WomenEmployees,MAPS_TO
Framework_SASB_BoardIndependencePercentage,Standard_SASB,BELONGS_TO
